"year","STATE","DISTRICT","REP_IND","DEM_IND","LBT_IND","GRN_IND","IND_IND"
2004,"AL","01",1,1,0,0,0
2004,"AL","02",1,1,0,0,0
2004,"AL","03",1,1,0,0,0
2004,"AL","04",1,1,0,0,0
2004,"AL","05",1,1,0,0,0
2004,"AL","06",1,0,0,0,0
2004,"AL","07",1,1,0,0,0
2004,"AK","01",1,1,1,1,0
2004,"AZ","01",1,1,1,0,0
2004,"AZ","02",1,1,1,0,0
2004,"AZ","03",1,0,1,0,0
2004,"AZ","04",1,1,1,0,0
2004,"AZ","05",1,1,1,0,0
2004,"AZ","06",1,0,1,0,0
2004,"AZ","07",1,1,1,0,0
2004,"AZ","08",1,1,1,0,0
2004,"AR","01",1,1,0,0,0
2004,"AR","02",1,1,0,0,0
2004,"AR","03",1,1,0,0,1
2004,"AR","04",0,1,0,0,0
2004,"CA","01",1,1,0,1,0
2004,"CA","02",1,1,0,0,0
2004,"CA","03",1,1,1,0,0
2004,"CA","04",1,1,0,0,0
2004,"CA","05",1,1,0,1,0
2004,"CA","06",1,1,0,0,0
2004,"CA","07",1,1,0,0,0
2004,"CA","08",1,1,0,0,0
2004,"CA","09",1,1,1,0,0
2004,"CA","10",1,1,0,0,0
2004,"CA","11",1,1,0,0,0
2004,"CA","12",1,1,1,1,0
2004,"CA","13",1,1,1,0,0
2004,"CA","14",1,1,1,0,0
2004,"CA","15",1,1,0,0,0
2004,"CA","16",1,1,1,0,0
2004,"CA","17",1,1,1,1,0
2004,"CA","18",1,1,0,0,0
2004,"CA","19",1,1,0,1,0
2004,"CA","20",1,1,0,0,0
2004,"CA","21",1,1,0,0,0
2004,"CA","22",1,0,0,0,0
2004,"CA","23",1,1,1,0,0
2004,"CA","24",1,1,0,1,0
2004,"CA","25",1,1,0,0,0
2004,"CA","26",1,1,1,0,0
2004,"CA","27",1,1,0,1,0
2004,"CA","28",1,1,1,0,0
2004,"CA","29",1,1,1,1,0
2004,"CA","30",1,1,0,0,0
2004,"CA","31",1,1,0,0,0
2004,"CA","32",0,1,1,0,0
2004,"CA","33",0,1,1,0,0
2004,"CA","34",1,1,0,0,0
2004,"CA","35",1,1,1,0,0
2004,"CA","36",1,1,1,0,0
2004,"CA","37",1,1,1,0,0
2004,"CA","38",0,1,0,0,0
2004,"CA","39",1,1,0,0,0
2004,"CA","40",1,1,0,0,0
2004,"CA","41",1,0,1,0,0
2004,"CA","42",1,1,0,0,0
2004,"CA","43",1,1,0,0,0
2004,"CA","44",1,1,0,0,0
2004,"CA","45",1,1,0,0,0
2004,"CA","46",1,1,1,1,0
2004,"CA","47",1,1,0,0,0
2004,"CA","48",1,1,1,0,0
2004,"CA","49",1,1,1,0,0
2004,"CA","50",1,1,1,1,0
2004,"CA","51",1,1,1,0,0
2004,"CA","52",1,1,1,0,0
2004,"CA","53",1,1,1,1,0
2004,"CO","01",1,1,0,0,0
2004,"CO","02",1,1,1,0,0
2004,"CO","03",1,1,0,0,0
2004,"CO","04",1,1,0,1,0
2004,"CO","05",1,1,1,0,0
2004,"CO","06",1,1,1,0,0
2004,"CO","07",1,1,0,0,0
2004,"CT","01",1,1,0,0,0
2004,"CT","02",1,1,0,0,0
2004,"CT","03",1,1,0,1,0
2004,"CT","04",1,1,0,0,0
2004,"CT","05",1,1,0,0,0
2004,"DE","01",1,1,1,0,0
2004,"FL","01",1,1,0,0,0
2004,"FL","02",1,1,0,0,0
2004,"FL","03",0,1,0,0,0
2004,"FL","04",1,0,0,0,0
2004,"FL","05",1,1,0,0,0
2004,"FL","06",1,1,0,0,0
2004,"FL","07",1,0,0,0,0
2004,"FL","08",1,1,0,0,0
2004,"FL","09",1,0,0,0,0
2004,"FL","10",1,1,0,0,0
2004,"FL","11",0,1,1,0,0
2004,"FL","12",1,1,0,0,0
2004,"FL","13",1,1,0,0,0
2004,"FL","14",1,1,0,0,0
2004,"FL","15",1,1,0,0,0
2004,"FL","16",1,1,0,0,0
2004,"FL","17",0,1,0,0,0
2004,"FL","18",1,1,0,0,0
2004,"FL","19",0,1,0,0,0
2004,"FL","20",1,1,0,0,0
2004,"FL","21",1,0,1,0,0
2004,"FL","22",1,1,0,0,0
2004,"FL","23",0,1,0,0,0
2004,"FL","24",1,0,0,0,0
2004,"FL","25",1,0,0,0,0
2004,"GA","01",1,0,0,0,0
2004,"GA","02",1,1,0,0,0
2004,"GA","03",1,1,0,0,0
2004,"GA","04",1,1,0,0,0
2004,"GA","05",0,1,0,0,0
2004,"GA","06",1,0,0,0,0
2004,"GA","07",1,0,0,0,0
2004,"GA","08",1,1,0,0,0
2004,"GA","09",1,1,0,0,0
2004,"GA","10",1,0,0,0,0
2004,"GA","11",1,1,0,0,0
2004,"GA","12",1,1,0,0,0
2004,"GA","13",0,1,0,0,0
2004,"HI","01",1,1,1,0,0
2004,"HI","02",1,1,0,0,0
2004,"ID","01",1,1,0,0,0
2004,"ID","02",1,1,0,0,0
2004,"IL","01",1,1,0,0,0
2004,"IL","02",0,1,1,0,0
2004,"IL","03",1,1,0,0,0
2004,"IL","04",1,1,1,0,0
2004,"IL","05",1,1,0,0,0
2004,"IL","06",1,1,0,0,0
2004,"IL","07",1,1,0,0,0
2004,"IL","08",1,1,0,0,0
2004,"IL","09",1,1,0,0,0
2004,"IL","10",1,1,0,0,0
2004,"IL","11",1,1,0,0,0
2004,"IL","12",1,1,1,0,0
2004,"IL","13",1,1,0,0,0
2004,"IL","14",1,1,0,0,0
2004,"IL","15",1,1,0,0,0
2004,"IL","16",1,1,0,0,0
2004,"IL","17",1,1,0,0,0
2004,"IL","18",1,1,0,0,0
2004,"IL","19",1,1,0,0,0
2004,"IN","01",1,1,0,0,0
2004,"IN","02",1,1,1,0,0
2004,"IN","03",1,1,0,0,0
2004,"IN","04",1,1,1,0,0
2004,"IN","05",1,1,1,0,0
2004,"IN","06",1,1,1,0,0
2004,"IN","07",1,1,1,0,0
2004,"IN","08",1,1,1,0,0
2004,"IN","09",1,1,1,0,0
2004,"IA","01",1,1,1,0,0
2004,"IA","02",1,1,1,0,0
2004,"IA","03",1,1,0,0,0
2004,"IA","04",1,1,0,0,0
2004,"IA","05",1,1,0,0,0
2004,"KS","01",1,0,1,0,0
2004,"KS","02",1,1,1,0,0
2004,"KS","03",1,1,1,0,0
2004,"KS","04",1,1,1,0,0
2004,"KY","01",1,1,0,0,0
2004,"KY","02",1,1,0,0,0
2004,"KY","03",1,1,1,0,0
2004,"KY","04",1,1,0,0,1
2004,"KY","05",1,0,0,0,0
2004,"KY","06",1,1,1,0,0
2004,"LA","01",1,1,0,0,0
2004,"LA","02",1,1,0,0,0
2004,"LA","03",1,1,0,0,0
2004,"LA","04",1,0,0,0,0
2004,"LA","05",1,1,0,0,0
2004,"LA","06",1,1,0,0,0
2004,"LA","07",1,1,0,0,0
2004,"ME","01",1,1,0,0,0
2004,"ME","02",1,1,0,0,0
2004,"MD","01",1,1,0,0,0
2004,"MD","02",1,1,0,1,0
2004,"MD","03",1,1,0,1,0
2004,"MD","04",1,1,0,1,0
2004,"MD","05",1,1,0,1,0
2004,"MD","06",1,1,0,1,0
2004,"MD","07",1,1,0,1,0
2004,"MD","08",1,1,0,0,0
2004,"MA","01",0,1,0,0,0
2004,"MA","02",0,1,0,0,0
2004,"MA","03",1,1,0,0,0
2004,"MA","04",0,1,0,0,1
2004,"MA","05",1,1,0,0,0
2004,"MA","06",1,1,0,0,0
2004,"MA","07",1,1,0,0,1
2004,"MA","08",0,1,0,0,0
2004,"MA","09",0,1,0,0,0
2004,"MA","10",1,1,0,0,0
2004,"MI","01",1,1,1,1,0
2004,"MI","02",1,1,1,0,0
2004,"MI","03",1,1,1,0,0
2004,"MI","04",1,1,1,0,0
2004,"MI","05",1,1,1,1,0
2004,"MI","06",1,1,1,1,0
2004,"MI","07",1,1,1,1,0
2004,"MI","08",1,1,1,0,0
2004,"MI","09",1,1,1,0,0
2004,"MI","10",1,1,1,0,0
2004,"MI","11",1,1,1,0,0
2004,"MI","12",1,1,1,0,0
2004,"MI","13",1,1,1,1,0
2004,"MI","14",1,1,1,1,0
2004,"MI","15",1,1,1,0,0
2004,"MN","01",1,1,0,0,0
2004,"MN","02",1,1,0,0,0
2004,"MN","03",1,1,0,0,0
2004,"MN","04",1,1,0,0,0
2004,"MN","05",1,1,0,1,0
2004,"MN","06",1,1,0,0,0
2004,"MN","07",1,1,0,0,0
2004,"MN","08",1,1,0,1,0
2004,"MS","01",1,0,0,0,0
2004,"MS","02",1,1,0,0,0
2004,"MS","03",1,0,0,0,1
2004,"MS","04",1,1,0,0,0
2004,"MO","01",1,1,1,0,0
2004,"MO","02",1,1,1,0,0
2004,"MO","03",1,1,1,0,0
2004,"MO","04",1,1,1,0,0
2004,"MO","05",1,1,1,0,0
2004,"MO","06",1,1,1,0,0
2004,"MO","07",1,1,1,0,0
2004,"MO","08",1,1,1,0,0
2004,"MO","09",1,1,1,0,0
2004,"MT","01",1,1,1,0,0
2004,"NE","01",1,1,0,1,0
2004,"NE","02",1,1,1,1,0
2004,"NE","03",1,1,0,1,0
2004,"NV","01",1,1,1,0,0
2004,"NV","02",1,1,1,0,0
2004,"NV","03",1,1,1,0,0
2004,"NH","01",1,1,0,0,0
2004,"NH","02",1,1,1,0,0
2004,"NJ","01",1,1,0,0,0
2004,"NJ","02",1,1,1,1,0
2004,"NJ","03",1,1,1,0,0
2004,"NJ","04",1,1,1,0,0
2004,"NJ","05",1,1,1,0,0
2004,"NJ","06",1,1,1,0,0
2004,"NJ","07",1,1,1,0,1
2004,"NJ","08",1,1,0,1,0
2004,"NJ","09",1,1,1,0,0
2004,"NJ","10",0,1,0,1,0
2004,"NJ","11",1,1,1,0,0
2004,"NJ","12",1,1,1,1,0
2004,"NJ","13",1,1,0,0,0
2004,"NM","01",1,1,0,0,0
2004,"NM","02",1,1,0,0,0
2004,"NM","03",1,1,0,0,0
2004,"NY","01",1,1,0,0,0
2004,"NY","02",1,1,0,0,0
2004,"NY","03",1,1,0,0,0
2004,"NY","04",1,1,0,0,0
2004,"NY","05",1,1,0,0,0
2004,"NY","06",0,1,0,0,0
2004,"NY","07",1,1,0,0,0
2004,"NY","08",1,1,0,0,0
2004,"NY","09",1,1,0,0,0
2004,"NY","10",1,1,0,0,0
2004,"NY","11",0,1,0,0,0
2004,"NY","12",1,1,0,0,0
2004,"NY","13",1,1,0,0,0
2004,"NY","14",1,1,0,0,0
2004,"NY","15",1,1,0,0,0
2004,"NY","16",1,1,0,0,0
2004,"NY","17",1,1,0,0,0
2004,"NY","18",1,1,0,0,0
2004,"NY","19",1,1,0,0,0
2004,"NY","20",1,1,0,0,0
2004,"NY","21",1,1,0,0,0
2004,"NY","22",1,1,0,0,0
2004,"NY","23",1,1,0,0,0
2004,"NY","24",1,1,0,0,0
2004,"NY","25",1,0,0,0,0
2004,"NY","26",1,1,0,0,0
2004,"NY","27",1,1,0,0,0
2004,"NY","28",1,1,0,0,0
2004,"NY","29",1,1,0,0,0
2004,"NC","01",1,1,0,0,0
2004,"NC","02",1,1,0,0,0
2004,"NC","03",1,1,0,0,0
2004,"NC","04",1,1,0,0,0
2004,"NC","05",1,1,0,0,0
2004,"NC","06",1,1,0,0,0
2004,"NC","07",1,1,0,0,0
2004,"NC","08",1,1,0,0,0
2004,"NC","09",1,1,0,0,0
2004,"NC","10",1,1,0,0,0
2004,"NC","11",1,1,0,0,0
2004,"NC","12",1,1,0,0,0
2004,"NC","13",1,1,0,0,0
2004,"ND","01",1,1,0,0,0
2004,"OH","01",1,1,0,0,0
2004,"OH","02",1,1,0,0,0
2004,"OH","03",1,1,0,0,0
2004,"OH","04",1,1,0,0,0
2004,"OH","05",1,1,0,0,0
2004,"OH","06",0,1,0,0,0
2004,"OH","07",1,1,0,0,0
2004,"OH","08",1,1,0,0,0
2004,"OH","09",1,1,0,0,0
2004,"OH","10",1,1,0,0,0
2004,"OH","11",0,1,0,0,0
2004,"OH","12",1,1,0,0,0
2004,"OH","13",1,1,0,0,0
2004,"OH","14",1,1,0,0,0
2004,"OH","15",1,1,0,0,0
2004,"OH","16",1,1,0,0,0
2004,"OH","17",1,1,0,0,0
2004,"OH","18",1,1,0,0,0
2004,"OK","01",1,1,0,0,1
2004,"OK","02",1,1,0,0,0
2004,"OK","03",1,0,0,0,1
2004,"OK","04",1,0,0,0,1
2004,"OK","05",1,1,0,0,0
2004,"OR","01",1,1,0,0,0
2004,"OR","02",1,1,1,0,0
2004,"OR","03",1,1,0,0,0
2004,"OR","04",1,1,1,0,0
2004,"OR","05",1,1,1,0,0
2004,"PA","01",1,1,0,0,0
2004,"PA","02",1,1,0,0,0
2004,"PA","03",1,1,0,0,0
2004,"PA","04",1,1,0,0,0
2004,"PA","05",1,0,1,0,0
2004,"PA","06",1,1,0,0,0
2004,"PA","07",1,1,1,0,0
2004,"PA","08",1,1,1,0,0
2004,"PA","09",1,1,0,0,0
2004,"PA","10",1,0,0,0,0
2004,"PA","11",0,1,0,0,0
2004,"PA","12",0,1,0,0,0
2004,"PA","13",1,1,1,0,0
2004,"PA","14",0,1,0,0,0
2004,"PA","15",1,1,1,1,0
2004,"PA","16",1,1,0,1,0
2004,"PA","17",1,1,1,0,0
2004,"PA","18",1,1,0,0,0
2004,"PA","19",1,0,1,1,0
2004,"RI","01",1,1,0,0,0
2004,"RI","02",1,1,0,0,1
2004,"SC","01",1,0,0,1,0
2004,"SC","02",1,1,0,0,0
2004,"SC","03",1,0,0,0,0
2004,"SC","04",1,1,0,1,0
2004,"SC","05",1,1,0,0,0
2004,"SC","06",1,1,0,0,0
2004,"SD","01",1,1,1,0,0
2004,"TN","01",1,1,0,0,1
2004,"TN","02",1,1,0,0,1
2004,"TN","03",1,1,0,0,1
2004,"TN","04",1,1,0,0,1
2004,"TN","05",1,1,0,0,0
2004,"TN","06",1,1,0,0,1
2004,"TN","07",1,0,0,0,0
2004,"TN","08",1,1,0,0,0
2004,"TN","09",1,1,0,0,0
2004,"TX","01",1,1,1,0,0
2004,"TX","02",1,1,1,0,0
2004,"TX","03",1,0,1,0,1
2004,"TX","04",1,1,1,0,0
2004,"TX","05",1,1,1,0,0
2004,"TX","06",1,1,1,0,0
2004,"TX","07",1,1,1,0,1
2004,"TX","08",1,1,1,0,0
2004,"TX","09",1,1,1,0,0
2004,"TX","10",1,0,1,0,0
2004,"TX","11",1,1,1,0,0
2004,"TX","12",1,1,0,0,0
2004,"TX","13",1,0,1,0,0
2004,"TX","14",1,0,0,0,0
2004,"TX","15",1,1,1,0,0
2004,"TX","16",1,1,1,0,0
2004,"TX","17",1,1,1,0,0
2004,"TX","18",0,1,1,0,1
2004,"TX","19",1,1,1,0,0
2004,"TX","20",1,1,1,0,1
2004,"TX","21",1,1,1,0,0
2004,"TX","22",1,1,1,0,1
2004,"TX","23",1,1,1,0,0
2004,"TX","24",1,1,1,0,0
2004,"TX","25",1,1,1,0,0
2004,"TX","26",1,1,1,0,0
2004,"TX","27",1,1,1,0,0
2004,"TX","28",1,1,1,0,0
2004,"TX","29",0,1,1,0,0
2004,"TX","30",0,1,1,0,0
2004,"TX","31",1,1,1,0,0
2004,"TX","32",1,1,1,0,0
2004,"UT","01",1,1,0,0,0
2004,"UT","02",1,1,0,1,0
2004,"UT","03",1,1,1,0,0
2004,"VT","01",1,1,0,0,1
2004,"VA","01",1,0,0,0,1
2004,"VA","02",1,1,0,0,0
2004,"VA","03",1,1,0,0,0
2004,"VA","04",1,1,0,0,0
2004,"VA","05",1,1,0,0,0
2004,"VA","06",1,0,0,0,0
2004,"VA","07",1,0,0,0,1
2004,"VA","08",1,1,0,0,1
2004,"VA","09",1,1,0,0,1
2004,"VA","10",1,1,0,0,0
2004,"VA","11",1,1,0,0,1
2004,"WA","01",1,1,1,0,0
2004,"WA","02",1,1,1,0,0
2004,"WA","03",1,1,0,0,0
2004,"WA","04",1,1,0,0,0
2004,"WA","05",1,1,0,0,0
2004,"WA","06",1,1,0,0,0
2004,"WA","07",1,1,0,0,0
2004,"WA","08",1,1,1,0,0
2004,"WA","09",1,1,0,1,0
2004,"WV","01",1,1,0,0,0
2004,"WV","02",1,1,0,0,0
2004,"WV","03",1,1,0,0,0
2004,"WI","01",1,1,1,0,1
2004,"WI","02",1,1,0,0,0
2004,"WI","03",1,1,0,0,0
2004,"WI","04",1,1,0,0,1
2004,"WI","05",1,1,1,0,0
2004,"WI","06",1,1,0,0,0
2004,"WI","07",0,1,0,0,0
2004,"WI","08",1,1,0,0,0
2004,"WY","01",1,1,1,0,0
2006,"AL","01",1,1,0,0,0
2006,"AL","02",1,1,0,0,0
2006,"AL","03",1,1,0,0,1
2006,"AL","04",1,1,0,0,0
2006,"AL","05",0,1,0,0,0
2006,"AL","06",1,0,0,0,0
2006,"AL","07",0,1,0,0,0
2006,"AK","01",1,1,1,1,0
2006,"AZ","01",1,1,1,0,0
2006,"AZ","02",1,1,1,0,0
2006,"AZ","03",1,1,1,0,0
2006,"AZ","04",1,1,1,0,0
2006,"AZ","05",1,1,1,0,0
2006,"AZ","06",1,0,1,0,0
2006,"AZ","07",1,1,1,0,0
2006,"AZ","08",1,1,1,0,1
2006,"AR","01",1,1,0,0,0
2006,"AR","02",1,1,0,0,0
2006,"AR","03",1,1,0,0,0
2006,"AR","04",1,1,0,0,0
2006,"CA","01",1,1,0,1,0
2006,"CA","02",1,1,1,0,0
2006,"CA","03",1,1,1,0,0
2006,"CA","04",1,1,1,0,0
2006,"CA","05",1,1,0,1,0
2006,"CA","06",1,1,1,0,0
2006,"CA","07",0,1,1,0,0
2006,"CA","08",1,1,1,1,0
2006,"CA","09",1,1,1,0,0
2006,"CA","10",1,1,0,0,0
2006,"CA","11",1,1,0,0,0
2006,"CA","12",1,1,0,0,0
2006,"CA","13",1,1,0,0,0
2006,"CA","14",1,1,1,1,0
2006,"CA","15",1,1,0,0,0
2006,"CA","16",1,1,0,0,0
2006,"CA","17",1,1,0,0,0
2006,"CA","18",1,1,0,0,0
2006,"CA","19",1,1,0,0,0
2006,"CA","20",0,1,0,0,0
2006,"CA","21",1,1,0,1,0
2006,"CA","22",1,1,0,0,0
2006,"CA","23",1,1,0,0,0
2006,"CA","24",1,1,0,0,0
2006,"CA","25",1,1,1,0,0
2006,"CA","26",1,1,1,0,0
2006,"CA","27",1,1,0,0,0
2006,"CA","28",1,1,1,1,0
2006,"CA","29",1,1,1,1,0
2006,"CA","30",1,1,0,0,0
2006,"CA","31",0,1,0,0,0
2006,"CA","32",0,1,1,0,0
2006,"CA","33",0,1,0,0,0
2006,"CA","34",1,1,0,0,0
2006,"CA","35",0,1,1,0,0
2006,"CA","36",1,1,1,0,0
2006,"CA","37",0,1,1,0,0
2006,"CA","38",1,1,0,0,0
2006,"CA","39",1,1,0,0,0
2006,"CA","40",1,1,1,0,0
2006,"CA","41",1,1,0,0,0
2006,"CA","42",1,0,0,0,0
2006,"CA","43",1,1,0,0,0
2006,"CA","44",1,1,0,0,0
2006,"CA","45",1,1,0,0,0
2006,"CA","46",1,1,1,0,0
2006,"CA","47",1,1,0,0,0
2006,"CA","48",1,1,1,0,0
2006,"CA","49",1,1,1,0,0
2006,"CA","50",1,1,1,0,0
2006,"CA","51",1,1,1,0,0
2006,"CA","52",1,1,1,0,0
2006,"CA","53",1,1,1,0,0
2006,"CO","01",0,1,0,1,0
2006,"CO","02",1,1,1,1,0
2006,"CO","03",1,1,1,0,0
2006,"CO","04",1,1,0,0,0
2006,"CO","05",1,1,0,0,0
2006,"CO","06",1,1,1,0,0
2006,"CO","07",1,1,0,1,0
2006,"CT","01",1,1,0,0,0
2006,"CT","02",1,1,0,0,0
2006,"CT","03",1,1,0,1,0
2006,"CT","04",1,1,1,1,0
2006,"CT","05",1,1,0,0,0
2006,"DE","01",1,1,0,1,0
2006,"FL","01",1,1,0,0,0
2006,"FL","02",0,1,0,0,0
2006,"FL","03",0,1,0,0,0
2006,"FL","04",1,1,0,0,0
2006,"FL","05",1,1,0,0,0
2006,"FL","06",1,1,0,0,0
2006,"FL","07",1,1,0,0,0
2006,"FL","08",1,1,0,0,1
2006,"FL","09",1,1,0,0,0
2006,"FL","10",1,1,0,0,0
2006,"FL","11",1,1,0,0,0
2006,"FL","12",1,0,0,0,1
2006,"FL","13",1,1,0,0,0
2006,"FL","14",1,1,0,0,0
2006,"FL","15",1,1,0,0,0
2006,"FL","16",1,1,0,0,1
2006,"FL","17",0,1,0,0,0
2006,"FL","18",1,1,0,0,0
2006,"FL","19",0,1,0,0,0
2006,"FL","20",0,1,0,0,0
2006,"FL","21",1,1,0,0,0
2006,"FL","22",1,1,0,0,1
2006,"FL","23",0,1,0,0,0
2006,"FL","24",1,1,0,0,0
2006,"FL","25",1,1,0,0,0
2006,"GA","01",1,1,0,0,0
2006,"GA","02",1,1,0,0,0
2006,"GA","03",1,1,0,0,0
2006,"GA","04",1,1,0,0,0
2006,"GA","05",0,1,0,0,0
2006,"GA","06",1,1,0,0,0
2006,"GA","07",1,1,0,0,0
2006,"GA","08",1,1,0,0,0
2006,"GA","09",1,1,0,0,0
2006,"GA","10",1,1,0,0,0
2006,"GA","11",1,1,0,0,0
2006,"GA","12",1,1,0,0,0
2006,"GA","13",1,1,0,0,0
2006,"HI","01",1,1,0,0,0
2006,"HI","02",1,1,0,0,0
2006,"ID","01",1,1,0,0,1
2006,"ID","02",1,1,0,0,1
2006,"IL","01",1,1,0,0,0
2006,"IL","02",1,1,1,0,0
2006,"IL","03",1,1,0,0,0
2006,"IL","04",1,1,0,0,0
2006,"IL","05",1,1,0,0,0
2006,"IL","06",1,1,0,0,0
2006,"IL","07",1,1,0,0,0
2006,"IL","08",1,1,0,0,0
2006,"IL","09",1,1,0,0,0
2006,"IL","10",1,1,0,0,0
2006,"IL","11",1,1,0,0,0
2006,"IL","12",0,1,0,0,0
2006,"IL","13",1,1,0,0,0
2006,"IL","14",1,1,0,0,0
2006,"IL","15",1,1,0,0,0
2006,"IL","16",1,1,0,0,0
2006,"IL","17",1,1,0,0,0
2006,"IL","18",1,1,0,0,0
2006,"IL","19",1,1,0,0,0
2006,"IN","01",1,1,0,0,1
2006,"IN","02",1,1,0,0,0
2006,"IN","03",1,1,0,0,0
2006,"IN","04",1,1,0,0,0
2006,"IN","05",1,1,1,0,0
2006,"IN","06",1,1,0,0,0
2006,"IN","07",1,1,0,0,0
2006,"IN","08",1,1,0,0,0
2006,"IN","09",1,1,1,0,0
2006,"IA","01",1,1,0,0,0
2006,"IA","02",1,1,0,0,0
2006,"IA","03",1,1,0,0,0
2006,"IA","04",1,1,0,0,0
2006,"IA","05",1,1,0,0,0
2006,"KS","01",1,1,0,0,0
2006,"KS","02",1,1,0,0,0
2006,"KS","03",1,1,0,0,0
2006,"KS","04",1,1,0,0,0
2006,"KY","01",1,1,0,0,0
2006,"KY","02",1,1,0,0,0
2006,"KY","03",1,1,1,0,0
2006,"KY","04",1,1,1,0,0
2006,"KY","05",1,1,0,0,0
2006,"KY","06",0,1,1,0,0
2006,"LA","01",1,1,1,0,0
2006,"LA","02",1,1,1,0,0
2006,"LA","03",1,1,1,0,0
2006,"LA","04",1,1,0,0,0
2006,"LA","05",1,1,1,0,0
2006,"LA","06",1,0,1,0,0
2006,"LA","07",1,1,0,0,0
2006,"ME","01",1,1,0,0,0
2006,"ME","02",1,1,0,0,0
2006,"MD","01",1,1,0,0,0
2006,"MD","02",1,1,0,0,0
2006,"MD","03",1,1,1,0,0
2006,"MD","04",1,1,0,0,0
2006,"MD","05",0,1,0,1,0
2006,"MD","06",1,1,0,1,0
2006,"MD","07",0,1,0,0,0
2006,"MD","08",1,1,0,1,0
2006,"MA","01",0,1,0,0,0
2006,"MA","02",0,1,0,0,0
2006,"MA","03",0,1,0,0,0
2006,"MA","04",0,1,0,0,0
2006,"MA","05",0,1,0,0,0
2006,"MA","06",1,1,0,0,0
2006,"MA","07",0,1,0,0,0
2006,"MA","08",0,1,0,0,0
2006,"MA","09",1,1,0,0,0
2006,"MA","10",1,1,0,0,1
2006,"MI","01",1,1,1,1,0
2006,"MI","02",1,1,1,0,0
2006,"MI","03",1,1,1,1,0
2006,"MI","04",1,1,1,0,0
2006,"MI","05",1,1,1,1,0
2006,"MI","06",1,1,1,0,0
2006,"MI","07",1,1,1,0,0
2006,"MI","08",1,1,1,1,0
2006,"MI","09",1,1,1,1,0
2006,"MI","10",1,1,1,1,0
2006,"MI","11",1,1,1,0,0
2006,"MI","12",1,1,1,1,0
2006,"MI","13",0,1,0,0,0
2006,"MI","14",1,1,0,0,0
2006,"MI","15",0,1,1,1,0
2006,"MN","01",1,1,0,0,0
2006,"MN","02",1,1,0,0,0
2006,"MN","03",1,1,0,0,0
2006,"MN","04",1,1,0,0,0
2006,"MN","05",1,1,0,1,0
2006,"MN","06",1,1,0,0,0
2006,"MN","07",1,1,0,0,0
2006,"MN","08",1,1,0,0,0
2006,"MS","01",1,1,0,0,0
2006,"MS","02",1,1,0,0,0
2006,"MS","03",1,0,0,0,1
2006,"MS","04",1,1,0,0,0
2006,"MO","01",1,1,1,0,0
2006,"MO","02",1,1,1,0,0
2006,"MO","03",1,1,1,0,0
2006,"MO","04",1,1,1,0,0
2006,"MO","05",1,1,1,0,0
2006,"MO","06",1,1,1,0,0
2006,"MO","07",1,1,1,0,0
2006,"MO","08",1,1,1,0,0
2006,"MO","09",1,1,1,0,0
2006,"MT","01",1,1,1,0,0
2006,"NE","01",1,1,0,0,0
2006,"NE","02",1,1,0,0,0
2006,"NE","03",1,1,0,0,0
2006,"NV","01",1,1,1,0,0
2006,"NV","02",1,1,0,0,1
2006,"NV","03",1,1,1,0,0
2006,"NH","01",1,1,0,0,0
2006,"NH","02",1,1,1,0,0
2006,"NJ","01",0,1,0,0,0
2006,"NJ","02",1,1,0,0,0
2006,"NJ","03",1,1,0,0,0
2006,"NJ","04",1,1,1,0,0
2006,"NJ","05",1,1,0,0,0
2006,"NJ","06",1,1,0,0,0
2006,"NJ","07",1,1,1,0,0
2006,"NJ","08",1,1,1,0,0
2006,"NJ","09",1,1,0,0,0
2006,"NJ","10",0,1,0,0,0
2006,"NJ","11",1,1,1,0,0
2006,"NJ","12",1,1,0,0,0
2006,"NJ","13",1,1,0,0,0
2006,"NM","01",1,1,0,0,0
2006,"NM","02",1,1,0,0,0
2006,"NM","03",1,1,0,0,0
2006,"NY","01",1,1,0,0,0
2006,"NY","02",1,1,0,0,0
2006,"NY","03",1,1,0,0,0
2006,"NY","04",1,1,0,0,0
2006,"NY","05",0,1,0,0,0
2006,"NY","06",0,1,0,0,0
2006,"NY","07",1,1,0,0,0
2006,"NY","08",1,1,0,0,0
2006,"NY","09",0,1,0,0,0
2006,"NY","10",1,1,0,0,0
2006,"NY","11",1,1,1,0,0
2006,"NY","12",1,1,0,0,0
2006,"NY","13",1,1,0,0,0
2006,"NY","14",1,1,0,0,0
2006,"NY","15",1,1,0,0,0
2006,"NY","16",1,1,0,0,0
2006,"NY","17",1,1,0,0,0
2006,"NY","18",1,1,0,0,0
2006,"NY","19",1,1,0,0,0
2006,"NY","20",1,1,0,0,0
2006,"NY","21",1,1,0,0,0
2006,"NY","22",0,1,0,0,0
2006,"NY","23",1,1,0,0,0
2006,"NY","24",1,1,1,0,0
2006,"NY","25",1,1,0,0,0
2006,"NY","26",1,1,0,0,0
2006,"NY","27",1,1,0,0,0
2006,"NY","28",1,1,0,0,0
2006,"NY","29",1,1,0,0,0
2006,"NC","01",0,1,0,0,0
2006,"NC","02",1,1,0,0,0
2006,"NC","03",1,1,0,0,0
2006,"NC","04",1,1,0,0,0
2006,"NC","05",1,1,0,0,0
2006,"NC","06",1,1,0,0,0
2006,"NC","07",1,1,0,0,0
2006,"NC","08",1,1,0,0,0
2006,"NC","09",1,1,0,0,0
